musteri,yas,kidem_suresi,egitim,is_durumu,meslek_grubu,tarih,target
474551eefa,45.0,214.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
3ff8b40359,18.0,8.0,5f8ca0f83b,51be29729b,,20190601,0
6106b1226b,27.0,59.0,7e6640bfe0,991c4998fb,bfd9cb6270,20190601,0
ed1b7c56d4,26.0,95.0,7e6640bfe0,d36d84f51a,,20190601,0
fe396a113f,23.0,46.0,7e6640bfe0,d36d84f51a,,20190601,0
b6c73136ba,25.0,137.0,7e6640bfe0,915be3a7a4,44af6626d6,20190601,0
dbaa0b8e18,23.0,127.0,7e6640bfe0,d36d84f51a,,20190601,0
2230c775b4,19.0,22.0,7e6640bfe0,d36d84f51a,44af6626d6,20190601,0
50e52389dc,23.0,22.0,7e6640bfe0,991c4998fb,44af6626d6,20190601,0
dbf8dc1e67,21.0,209.0,7e6640bfe0,d36d84f51a,,20190601,0
30321dea89,32.0,121.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
f2b561a456,28.0,70.0,5f8ca0f83b,242927d0f5,44af6626d6,20190601,0
6c984662c3,24.0,85.0,5f8ca0f83b,d36d84f51a,,20190601,0
c5dd561dd8,33.0,180.0,7e6640bfe0,ba7b390fc4,62260c15fb,20190601,0
9d769113d3,29.0,34.0,7e6640bfe0,991c4998fb,44af6626d6,20190601,0
a6e11ff047,42.0,92.0,7e6640bfe0,991c4998fb,314826bda8,20190601,0
153b289c13,21.0,44.0,5f8ca0f83b,51be29729b,,20190601,0
59e1bc4e9d,20.0,188.0,5f8ca0f83b,d36d84f51a,,20190601,0
f065fb2bd6,39.0,265.0,7e6640bfe0,a996720382,44af6626d6,20190601,0
36647904d1,21.0,34.0,7e6640bfe0,d36d84f51a,,20190601,0
8737f21dc2,26.0,104.0,7e6640bfe0,242927d0f5,44af6626d6,20190601,0
7229bcbd04,26.0,93.0,7e6640bfe0,915be3a7a4,,20190601,0
97882414d8,22.0,79.0,7e6640bfe0,d36d84f51a,,20190601,0
8923860926,32.0,62.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
737cac38fb,23.0,16.0,5f8ca0f83b,d36d84f51a,,20190601,0
8834038af7,22.0,59.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
533065982c,29.0,127.0,7e6640bfe0,991c4998fb,44af6626d6,20190601,0
fdc02ef4ad,27.0,28.0,7bb291e291,991c4998fb,44af6626d6,20190601,0
86ae6b7633,25.0,59.0,7e6640bfe0,d36d84f51a,44af6626d6,20190601,0
480fb8f7b3,19.0,9.0,7e6640bfe0,d36d84f51a,,20190601,0
f9572621b7,27.0,1.0,7bb291e291,991c4998fb,44af6626d6,20190601,0
2a7e91d236,27.0,38.0,7e6640bfe0,d36d84f51a,,20190601,0
e0aace9ca2,29.0,84.0,5f8ca0f83b,915be3a7a4,,20190601,0
f91c9ea9c1,22.0,188.0,7bb291e291,51be29729b,,20190601,0
7ef6b3bbad,22.0,9.0,7e6640bfe0,991c4998fb,44af6626d6,20190601,0
dbefb912b6,20.0,19.0,5f8ca0f83b,d36d84f51a,,20190601,0
ffa27338fb,26.0,95.0,7e6640bfe0,991c4998fb,51155d7cc3,20190601,0
fc0a356608,25.0,50.0,5f8ca0f83b,915be3a7a4,44af6626d6,20190601,0
04ef9d1957,21.0,1.0,5f8ca0f83b,ba7b390fc4,6da8606d6e,20190601,0
49f7fb72b6,33.0,166.0,7e6640bfe0,ba7b390fc4,44af6626d6,20190601,0
6c95faebed,20.0,21.0,5f8ca0f83b,51be29729b,,20190601,0
30512b60e8,28.0,123.0,7e6640bfe0,ba7b390fc4,bfd9cb6270,20190601,0
ba0300458b,37.0,141.0,7e6640bfe0,915be3a7a4,44af6626d6,20190601,0
3c622118d2,21.0,46.0,5f8ca0f83b,d36d84f51a,,20190601,0
85aa515498,37.0,104.0,5f8ca0f83b,eb35a5eb6b,,20190601,0
aac72f35fb,34.0,192.0,01a4f2c96c,ba7b390fc4,314826bda8,20190601,0
c64dfbb59f,23.0,41.0,5f8ca0f83b,d36d84f51a,,20190601,0
4f64c58322,29.0,104.0,5f8ca0f83b,d36d84f51a,,20190601,0
09b1bda7de,49.0,256.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
b935fe5fdf,26.0,42.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
a1db6633b2,19.0,31.0,5f8ca0f83b,d36d84f51a,,20190601,0
500166294f,33.0,0.0,,eb35a5eb6b,,20190601,0
2ec73b2736,20.0,7.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
32e0cb2d84,24.0,60.0,7e6640bfe0,d36d84f51a,,20190601,0
23820cf517,50.0,247.0,7e6640bfe0,991c4998fb,314826bda8,20190601,0
67faca0295,27.0,106.0,01a4f2c96c,991c4998fb,44af6626d6,20190601,0
ff3368edc7,26.0,291.0,7e6640bfe0,915be3a7a4,bfd9cb6270,20190601,0
413c74219f,21.0,48.0,7e6640bfe0,991c4998fb,bfd9cb6270,20190601,0
fe135e7596,48.0,35.0,5f8ca0f83b,b026b8ee68,44af6626d6,20190601,0
67c61540e4,21.0,16.0,5f8ca0f83b,eb35a5eb6b,,20190601,0
d9b9a93d7b,47.0,53.0,7bb291e291,289777e76d,,20190601,0
0b0ff2d244,18.0,7.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
6194968523,20.0,10.0,5f8ca0f83b,51be29729b,,20190601,0
62f972fb2a,21.0,8.0,5f8ca0f83b,d36d84f51a,,20190601,0
7fa4bcb812,23.0,87.0,7e6640bfe0,d36d84f51a,,20190601,0
1be4a8f28b,29.0,132.0,7e6640bfe0,242927d0f5,91ed9c1e18,20190601,0
ee475965bc,26.0,13.0,7e6640bfe0,991c4998fb,314826bda8,20190601,0
e689b1afc0,30.0,209.0,5f8ca0f83b,991c4998fb,527516f307,20190601,0
17018fde06,33.0,113.0,01a4f2c96c,ba7b390fc4,44af6626d6,20190601,0
a12070c501,30.0,144.0,7e6640bfe0,242927d0f5,9034d4c83c,20190601,1
7673e1b9cc,39.0,252.0,7e6640bfe0,991c4998fb,44af6626d6,20190601,0
d2e11b365c,22.0,13.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
749d47b277,23.0,21.0,7bb291e291,991c4998fb,44af6626d6,20190601,0
2c1070c734,27.0,100.0,7e6640bfe0,915be3a7a4,,20190601,0
628c4be00b,34.0,185.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
e50ff317a7,26.0,57.0,7e6640bfe0,d36d84f51a,,20190601,0
e8a9171bbe,37.0,214.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
5607a12708,24.0,68.0,7e6640bfe0,d36d84f51a,,20190601,0
8da1b09f3e,20.0,20.0,5f8ca0f83b,d36d84f51a,,20190601,0
fa24351303,31.0,29.0,5f8ca0f83b,b026b8ee68,,20190601,0
bef8a2ac06,25.0,68.0,7e6640bfe0,d36d84f51a,,20190601,0
1167a82bb8,19.0,8.0,7e6640bfe0,991c4998fb,44af6626d6,20190601,0
80c5a3aad5,19.0,106.0,7bb291e291,51be29729b,,20190601,0
9f1126da00,25.0,58.0,7e6640bfe0,d36d84f51a,,20190601,0
b98a825144,27.0,38.0,7e6640bfe0,ba7b390fc4,314826bda8,20190601,0
311c8bb860,25.0,45.0,7e6640bfe0,ba7b390fc4,314826bda8,20190601,0
986cd555f6,35.0,189.0,7e6640bfe0,991c4998fb,44af6626d6,20190601,0
2b840c221a,21.0,1.0,5f8ca0f83b,d36d84f51a,,20190601,0
b90529d426,21.0,29.0,5f8ca0f83b,d36d84f51a,,20190601,0
210f59c991,25.0,82.0,5f8ca0f83b,915be3a7a4,,20190601,0
c104c50443,27.0,46.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,1
f4307404fe,21.0,32.0,7e6640bfe0,d36d84f51a,,20190601,0
a550e3a1e8,38.0,160.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
92bb6af905,21.0,21.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
b59a0440d7,19.0,220.0,7e6640bfe0,d36d84f51a,,20190601,0
fb49df3c26,37.0,161.0,7e6640bfe0,ba7b390fc4,44af6626d6,20190601,0
59f1fdecef,36.0,74.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
ba1f538dae,26.0,94.0,7e6640bfe0,991c4998fb,4e1d23cb0a,20190601,0
a101706b4b,31.0,42.0,5f8ca0f83b,915be3a7a4,44af6626d6,20190601,0
2199128422,24.0,6.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
2784dea099,20.0,43.0,5f8ca0f83b,915be3a7a4,44af6626d6,20190601,0
04f35bc228,23.0,114.0,7e6640bfe0,d36d84f51a,,20190601,0
98d7b82736,45.0,191.0,5f8ca0f83b,289777e76d,44af6626d6,20190601,0
d59c03868b,23.0,18.0,7e6640bfe0,991c4998fb,44af6626d6,20190601,0
6b3c980b19,26.0,155.0,7e6640bfe0,915be3a7a4,44af6626d6,20190601,1
f5e7647f7f,25.0,39.0,5f8ca0f83b,915be3a7a4,44af6626d6,20190601,0
7fc59f0509,25.0,138.0,5f8ca0f83b,d36d84f51a,,20190601,0
a42ae1ba88,30.0,130.0,7e6640bfe0,991c4998fb,44af6626d6,20190601,0
0c01a58a4d,23.0,55.0,5f8ca0f83b,d36d84f51a,,20190601,0
c3a251eebf,30.0,73.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
f611838da7,31.0,142.0,7e6640bfe0,991c4998fb,314826bda8,20190601,1
8daccce2fc,25.0,43.0,7bb291e291,ba7b390fc4,6da8606d6e,20190601,0
6ebc8085c5,19.0,3.0,5f8ca0f83b,51be29729b,,20190601,0
f452a2224e,21.0,1.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
33afcf3071,19.0,11.0,7e6640bfe0,991c4998fb,44af6626d6,20190601,0
d6c97537e0,28.0,89.0,01a4f2c96c,991c4998fb,44af6626d6,20190601,0
f8fa1266e4,26.0,70.0,7e6640bfe0,915be3a7a4,,20190601,0
07b2bd1020,27.0,93.0,7e6640bfe0,915be3a7a4,,20190601,1
5d694399a0,30.0,155.0,7e6640bfe0,ba7b390fc4,9034d4c83c,20190601,0
7d198f1c63,21.0,34.0,5f8ca0f83b,d36d84f51a,5aaf0d2c89,20190601,0
752897612f,24.0,48.0,7e6640bfe0,915be3a7a4,44af6626d6,20190601,0
974cebf99d,20.0,24.0,5f8ca0f83b,ba7b390fc4,bfd9cb6270,20190601,0
548a696722,19.0,4.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
131fe5730f,50.0,162.0,5f8ca0f83b,b026b8ee68,44af6626d6,20190601,0
938be79059,31.0,103.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
03207cd701,22.0,45.0,7e6640bfe0,d36d84f51a,,20190601,0
615780b86b,21.0,18.0,5f8ca0f83b,51be29729b,,20190601,0
f676c49ea3,35.0,152.0,7bb291e291,991c4998fb,44af6626d6,20190601,0
a46a82e547,25.0,113.0,7bb291e291,991c4998fb,44af6626d6,20190601,0
dbfe569875,28.0,208.0,7e6640bfe0,d36d84f51a,,20190601,0
b60e5ae5b6,21.0,34.0,7e6640bfe0,d36d84f51a,,20190601,0
469736b47e,24.0,168.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
efad3f275c,36.0,167.0,7e6640bfe0,ba7b390fc4,62260c15fb,20190601,0
623da09ad9,30.0,119.0,5f8ca0f83b,915be3a7a4,,20190601,0
155b17a470,24.0,19.0,5f8ca0f83b,d36d84f51a,,20190601,0
fd26a26d88,23.0,59.0,7e6640bfe0,d36d84f51a,,20190601,0
1f1567c293,30.0,46.0,7e6640bfe0,ba7b390fc4,314826bda8,20190601,0
04730ae071,27.0,114.0,7e6640bfe0,915be3a7a4,44af6626d6,20190601,0
308c4c92a2,21.0,40.0,5f8ca0f83b,51be29729b,,20190601,0
ac5013e159,22.0,34.0,7e6640bfe0,d36d84f51a,,20190601,0
ff35e13c9b,22.0,12.0,5f8ca0f83b,eb35a5eb6b,,20190601,0
9b361d38f3,26.0,46.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
460bc3e6aa,30.0,127.0,7e6640bfe0,915be3a7a4,44af6626d6,20190601,0
b433e7c9a1,32.0,166.0,5f8ca0f83b,d36d84f51a,44af6626d6,20190601,0
3a98251f08,20.0,19.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
e92c8d5246,33.0,175.0,7e6640bfe0,991c4998fb,44af6626d6,20190601,0
3410691e8b,32.0,51.0,5f8ca0f83b,242927d0f5,91ed9c1e18,20190601,0
92117b47dc,25.0,70.0,7e6640bfe0,915be3a7a4,44af6626d6,20190601,0
d922ce1f5c,22.0,19.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
d9be807716,21.0,19.0,7e6640bfe0,d36d84f51a,,20190601,0
784a5f17e4,41.0,105.0,7e6640bfe0,991c4998fb,44af6626d6,20190601,0
49dbc8afbd,32.0,89.0,5f8ca0f83b,991c4998fb,bfd9cb6270,20190601,0
fb90221688,48.0,162.0,7e6640bfe0,ba7b390fc4,314826bda8,20190601,0
2faf73e32a,46.0,413.0,01a4f2c96c,991c4998fb,419188ba43,20190601,0
459ef4527a,37.0,239.0,7e6640bfe0,991c4998fb,44af6626d6,20190601,0
89cd577146,20.0,20.0,5f8ca0f83b,d36d84f51a,,20190601,0
abce8ae012,37.0,15.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
2cf640a254,22.0,61.0,5f8ca0f83b,d36d84f51a,,20190601,0
c8718e2f02,23.0,68.0,7e6640bfe0,915be3a7a4,44af6626d6,20190601,0
ac56353c26,23.0,34.0,7e6640bfe0,d36d84f51a,,20190601,0
958232ed22,26.0,54.0,5f8ca0f83b,242927d0f5,91ed9c1e18,20190601,0
004da397dd,20.0,8.0,5f8ca0f83b,d36d84f51a,,20190601,0
1e66188078,28.0,118.0,7e6640bfe0,991c4998fb,44af6626d6,20190601,0
75e906f1de,22.0,21.0,7e6640bfe0,d36d84f51a,,20190601,0
9cc599199a,27.0,64.0,7e6640bfe0,d36d84f51a,,20190601,0
a883676e14,39.0,95.0,5f8ca0f83b,b026b8ee68,,20190601,0
e277d435c9,49.0,145.0,7e6640bfe0,991c4998fb,44af6626d6,20190601,0
42c550f04f,22.0,13.0,7bb291e291,991c4998fb,44af6626d6,20190601,0
5814179232,24.0,37.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
f1d6a26e4f,23.0,8.0,7bb291e291,915be3a7a4,44af6626d6,20190601,0
37984e32cf,22.0,43.0,7e6640bfe0,eb35a5eb6b,,20190601,0
abb408998e,21.0,31.0,7e6640bfe0,991c4998fb,44af6626d6,20190601,0
653dadaa10,21.0,7.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
60e3fda2f3,21.0,104.0,5f8ca0f83b,d36d84f51a,,20190601,0
70172ee39a,30.0,121.0,7e6640bfe0,991c4998fb,eea19ef68d,20190601,0
2638874a24,25.0,56.0,7e6640bfe0,d36d84f51a,44af6626d6,20190601,0
8d1a5061d3,30.0,108.0,5f8ca0f83b,242927d0f5,91ed9c1e18,20190601,1
64d401d334,28.0,31.0,7e6640bfe0,991c4998fb,314826bda8,20190601,0
71171b0efd,23.0,35.0,7e6640bfe0,d36d84f51a,,20190601,0
267a2bfb2d,32.0,168.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
094c279146,35.0,174.0,7e6640bfe0,991c4998fb,44af6626d6,20190601,0
7de3af7910,26.0,53.0,7e6640bfe0,d36d84f51a,,20190601,0
58cc13b781,22.0,45.0,7e6640bfe0,d36d84f51a,,20190601,0
b443021720,27.0,107.0,7e6640bfe0,915be3a7a4,44af6626d6,20190601,0
31f16729a7,25.0,70.0,5f8ca0f83b,915be3a7a4,44af6626d6,20190601,0
6f546db944,19.0,153.0,7e6640bfe0,d36d84f51a,,20190601,0
3995435d8f,34.0,184.0,7e6640bfe0,991c4998fb,527516f307,20190601,0
141c518f78,49.0,262.0,7e6640bfe0,b026b8ee68,44af6626d6,20190601,0
804ab2be5a,25.0,82.0,7e6640bfe0,915be3a7a4,,20190601,0
d0e6cb4bd0,20.0,2.0,7e6640bfe0,d36d84f51a,44af6626d6,20190601,0
4b8b03d480,30.0,110.0,7e6640bfe0,991c4998fb,44af6626d6,20190601,0
08a5d09a81,20.0,3.0,5f8ca0f83b,d36d84f51a,,20190601,0
eff7a14f2d,27.0,67.0,7e6640bfe0,d36d84f51a,,20190601,0
548941f9b0,22.0,3.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
62149b355c,22.0,51.0,7e6640bfe0,d36d84f51a,44af6626d6,20190601,0
f633cd6cec,27.0,81.0,7e6640bfe0,915be3a7a4,,20190601,0
63abaa1abe,27.0,109.0,5f8ca0f83b,d36d84f51a,,20190601,0
f03986b820,24.0,15.0,5f8ca0f83b,d36d84f51a,,20190601,0
6afd0043c9,26.0,25.0,7e6640bfe0,991c4998fb,44af6626d6,20190601,0
bee600e998,23.0,117.0,7e6640bfe0,d36d84f51a,,20190601,0
e55690fd1a,30.0,156.0,7e6640bfe0,991c4998fb,44af6626d6,20190601,0
9f3f2ced38,48.0,41.0,5f8ca0f83b,289777e76d,,20190601,0
7d6d1f7afc,32.0,159.0,7e6640bfe0,915be3a7a4,44af6626d6,20190601,0
9a35e780b2,31.0,27.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
cae56bf60c,50.0,203.0,7bb291e291,242927d0f5,91ed9c1e18,20190601,0
fb4710b13e,39.0,176.0,7e6640bfe0,242927d0f5,91ed9c1e18,20190601,0
1e2c98a093,26.0,95.0,7e6640bfe0,991c4998fb,314826bda8,20190601,0
95eb425aed,22.0,12.0,7bb291e291,eb35a5eb6b,,20190601,0
d9fbfdfac6,25.0,20.0,7e6640bfe0,991c4998fb,44af6626d6,20190601,0
45f6129071,30.0,133.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
9fb0bcd1f1,25.0,82.0,7e6640bfe0,991c4998fb,b18c21407b,20190601,0
29eadb600e,29.0,80.0,7e6640bfe0,ba7b390fc4,bfd9cb6270,20190601,0
b22a63446a,18.0,152.0,5f8ca0f83b,d36d84f51a,,20190601,0
2369fefdef,21.0,21.0,7e6640bfe0,d36d84f51a,,20190601,0
b78b754329,28.0,80.0,5f8ca0f83b,d36d84f51a,,20190601,0
d90d75069a,35.0,134.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
f3048d012b,48.0,280.0,01a4f2c96c,991c4998fb,419188ba43,20190601,0
e78ca1fa47,30.0,143.0,7e6640bfe0,d36d84f51a,,20190601,0
e5c88f64c3,19.0,31.0,5f8ca0f83b,eb35a5eb6b,,20190601,0
aeedae245b,36.0,199.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
69685fbca3,22.0,77.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
363e5f7bdc,23.0,2.0,7e6640bfe0,d36d84f51a,,20190601,0
93b86ff276,27.0,87.0,7e6640bfe0,991c4998fb,bfd9cb6270,20190601,0
68367bda2a,26.0,101.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
a403a5fce4,38.0,139.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
525e73b1a7,31.0,161.0,7e6640bfe0,991c4998fb,44af6626d6,20190601,0
d4cec614a1,41.0,109.0,5f8ca0f83b,991c4998fb,44af6626d6,20190601,0
eb39ddf180,25.0,68.0,7e6640bfe0,991c4998fb,ba91c4a92b,20190601,0
8828d9fbfb,22.0,46.0,7e6640bfe0,991c4998fb,44af6626d6,20190601,0
c7c0f917f8,21.0,34.0,7e6640bfe0,d36d84f51a,44af6626d6,20190601,0
8899d0181b,43.0,235.0,5f8ca0f83b,915be3a7a4,44af6626d6,20190601,0
4cec630e20,23.0,57.0,7e6640bfe0,a996720382,44af6626d6,20190601,0
faf1497f82,40.0,62.0,5f8ca0f83b,915be3a7a4,,20190601,0
3805b7decf,26.0,94.0,7e6640bfe0,991c4998fb,44af6626d6,20190601,0
ddddd87a27,36.0,187.0,01a4f2c96c,991c4998fb,314826bda8,20190601,0
0a0b5c8c74,35.0,237.0,7e6640bfe0,ba7b390fc4,314826bda8,20190601,0
9ed21018a9,27.0,74.0,7bb291e291,991c4998fb,44af6626d6,20190601,0
c2358cd7af,25.0,62.0,7e6640bfe0,ba7b390fc4,ba91c4a92b,20190601,0
8cfab96a13,37.0,82.0,7e6640bfe0,991c4998fb,44af6626d6,20190601,0
781cc833c7,28.0,69.0,7bb291e291,991c4998fb,44af6626d6,20190601,0
ef463ef369,28.0,42.0,7e6640bfe0,d36d84f51a,,20190601,0
53ca3405cd,29.0,16.0,7e6640bfe0,242927d0f5,91ed9c1e18,20190601,0
383ca1e1ed,27.0,106.0,7e6640bfe0,915be3a7a4,,20190601,0
ad6601a8cd,36.0,209.0,7bb291e291,242927d0f5,44af6626d6,20190601,0
8c1291cfad,24.0,59.0,7e6640bfe0,d36d84f51a,44af6626d6,20190601,0
c91308a327,20.0,2.0,7bb291e291,991c4998fb,44af6626d6,20190601,0
